tweet_id,text,task1,task2,ID
1127497508874215424,@TajinderBagga अरे ये तो कुछ भी नही 😲......ये तो आज का हाल हो गया है 😉 https://t.co/RGknnwuNMv,NOT,NONE,hasoc_2020_hi_2485
1127799876262158336,@Archana74919805 दोस्तों याद रखये ये मान सम्मान आदर ये सब शब्द ईमानदार एवं सच्चे लोगो के लिए बनाये गये है और अगर हम चोर दल्लाल भष्टाचारियों  लुटेरों एवं अपराधीयों को सम्मानीत नहीं बल्कि  अपमानित करे ताकि हो सकता उनका ज़मीर जागे वो सुधर जाये इस लिए मेँ कही कड़वी भाषा का यूज़ करना हूँ  जय हिन्द,NOT,NONE,hasoc_2020_hi_3773
1123822619076321287,"@aakashrathi82 @Sunitagupta__ मित्रों दिल पर हाँथ रखकर जवाब देना 
आज अगर कांग्रेस सत्ता पर होतीं तो क्या मसुद अझहर को आतंकी घोषित करने के लिए  दबाव बनातीं??",NOT,NONE,hasoc_2020_hi_3397
1123637344077209601,"RT @aajtak: #LokSabhaElections2019
अन्ना हजारे ने कहा कि अब अरविंद केजरीवाल ने समाज और देश को छोड़ दिया है और गठबंधन में लग गया है | @Pkhel…",NOT,NONE,hasoc_2020_hi_2768
1127537438660763648,"RT @narendramodi_in: जब इन लोगों को मौका मिला तो NRHM में घोटाला कर दिया, एंबुलेंस में घोटाला कर दिया।

जब मुझे सेवा का अवसर मिला तो हर गरी…",NOT,NONE,hasoc_2020_hi_32
1123738888181374978,@WhirlingDervesh अपना पाप छुपाने के लिए सब को दोषी ठहरा दो। कोई फतवा तो जारी नहीं करता घूँघट ना करने के लिए। लोग पत्थर से बीच चौराहे पर नही मार देतते घूँघट ना करने के लिए। मतलब  कुछ भी लिख डालो। श्रीलंका के सरकार को ये बात बताओ कि घूँघट बैन करें 🤣🤣  यंहा कूँ?,HOF,HATE,hasoc_2020_hi_804
1123538954110640128,@rsprasad ये कालूराम इतने ऐंठे क्यो रहता है,NOT,NONE,hasoc_2020_hi_3335
1127524671186976769,"RT @Krutika202: 🌪👕
कल आँधी में एक टी-शर्ट मेरे घर आकर गिरी है..

सोच रही हूँ जीन्स ले लूँ.. 🤔👖

या..

अगली आँधी का इंतज़ार करूँ ?!!😜
😂😂😂",NOT,NONE,hasoc_2020_hi_725
1127496699356692480,"RT @BJP4India: आप सिर्फ सैम पित्रोदा तक सीमित हो जाते हैं। यह ठीक नहीं है। 

1984 में दंगे हुए, कुछ लोगों को मंत्री बनाया गया, एक सज्‍जन को…",NOT,NONE,hasoc_2020_hi_1477
1123511166867857409,"@RubikaLiyaquat अधूरी क्लिप है 
मेजर साहब पहले पूरी क्लिप सुनिए 
देश मे ऐसे भ्र्म ना फैलाये",NOT,NONE,hasoc_2020_hi_2123
1127586260334174209,"RT @JBMIS: ढाई लाख दलित कश्मीर में मैला ढोते हैं
उन्हें मताधिकार नहीं है !
मुल्ल्ला नाराज न हो जाएँ इसलिए माया ने कभी इनके लिए आवाज न उठाई🤔",HOF,HATE,hasoc_2020_hi_2168
1127549056874700802,RT @Karnalakaruna: @ArvindKejriwal दिल्ली वालों अपना कीमती वोट सोच समझ कर डालें https://t.co/2wRIt0ytRs,NOT,NONE,hasoc_2020_hi_2751
1127486817580662784,@TeamIndiaFirst @DrGPradhan @priyankagandhi @JM_Scindia कांग्रेस का असल चेहरा पोल खोलती तस्वीर....,NOT,NONE,hasoc_2020_hi_1844
1123603936479342592,"RT @SiddharthAulia: घर-परिवार जिसको कहते हैं
इक बसेरा है और कुछ भी नहीं
जिसे दैरो-हरम समझते सब
एक घेरा है और कुछ भी नहीं
हो मुलाकात क़ामिल…",NOT,NONE,hasoc_2020_hi_4241
1127549623093141504,@Rk_kalim9 Sahe hai 😂,NOT,NONE,hasoc_2020_hi_908
1127733400729554945,RT @anup_rathour: दिल्ली वालों के पास केजरीवाल को officially थप्पड़ मारने का सुनहरा मौका है। थप्पड़ इतना जोर का होना चाहिए कि इसकी गुंज उसे…,HOF,OFFN,hasoc_2020_hi_2624
1123821314647777280,"18 साल के मैथ्यू ने 100 मी रेस 9.98 सेकंड में पूरी की 
#RunningMan 
#dainikbhaskar https://t.co/ebdpsYXo37",NOT,NONE,hasoc_2020_hi_3406
1127466399704633346,"VIDEO: सिसकती, बिलखती बेटी ने माता-पिता की अर्थी को दिया कंधा, दी मुखाग्नि

#Chhattisgarh #ChhattisgarhNews #CGNews

https://t.co/kPIDufkFCK",NOT,NONE,hasoc_2020_hi_854
1127752677729931264,"@sambitswaraj कांग्रेस में जो भी जाता  है उसका  सत्यानास  होता है ,जैसा सिद्धू",HOF,HATE,hasoc_2020_hi_84
1127555293775265792,आयेगा तो मोदी ही https://t.co/ulj5f4awqw via @NavbharatTimes,NOT,NONE,hasoc_2020_hi_1400
1127604081923461121,@HatindersinghR @ShefVaidya दिल दुखी हो गया ।भगवान आप कहाँ हो अब तो सुन लो पेट भरने वालों की 😥😥,NOT,NONE,hasoc_2020_hi_1825
1127542769600344065,"@AkhileshPSingh आप इतने ज्ञानी थे तो पाँच जनता ने क्यु ठुकराकर निकाला,
अब पता चला की जनता अनपढ़ नही रही,
आप जैसे लोग ही कोंग्रेस को खतम करने के लिए काफ़ी है,
65 साल से कितने राज छुपे होंगे जब कच्चा 
चिठ्ठा खुलेंगा, जनता को पता चलेंगा,

जनता मोदीजी के साथ है,
ये काम मोदीजी है तो मुमकिन है,",NOT,NONE,hasoc_2020_hi_2562
1127575850059059200,"RT @ShrikrushnaAsa1: अटलजी लिखते बोलते तो बहुत खूबसूरत थे
पर 01-01-2014के बाद सरकारी नोकरी में जन्म लेने वाले कर्मचारियों के बेसहारा और झु…",NOT,NONE,hasoc_2020_hi_4139
1127507457738022912,"लोकतंत्र खतरे में है 

चुनाव आयोग वालो यह क्या तरीका है वोटिंग करवाने का

खुबसुरत बला दिखाकर वोटिंग शत प्रतिशत करवा रहे हो 

😍😍😍😍😍😍😘😘😘😂😂😂 https://t.co/UKBw6B4dQ1",NOT,NONE,hasoc_2020_hi_3846
1127789319190507521,"भगवान ज्यादा नही बस दस साल और मोदीजी को देश का चौकीदार बनाये रखें,बचे खुचे
#कांग्रेसी फाँसी ना लगाएं
तो कहना।।
😆😁😂",HOF,OFFN,hasoc_2020_hi_2161
1127588130985353216,"@ActivistDeep जब से ये संघी पैदा हुए हैं अंग्रेजो को तलवे चाटने देश और समाज से गद्दारी करने, झूठ बोलकर जनता को गुमराह करने,माफी माँगने के सिवा किया क्या है! https://t.co/5YpXtZMah0",HOF,HATE,hasoc_2020_hi_949
1127485643167154176,RT @BxJarvis: हम ये समझते हैं कि तू केजरीवाल को नीचा दिखाने के लिए किसी की भी दलाली कर सकता है । चाहे भाजपा को तुझे कुछ भी बेचना पड़े तू वो…,HOF,OFFN,hasoc_2020_hi_1216
1123817594304237573,RT @manakgupta: “कांग्रेस देशद्रोह क़ानून ख़त्म करना चाहती है. हम तो इस क़ानून की समीक्षा करके ऐसा क़ानून बनाएँगे कि देशद्रोह करने वालों की…,NOT,NONE,hasoc_2020_hi_895
1123565432756002817,"RT @69withgoat: किसी number के पिछ जितने चाहे zero 
लगा लो कोई फरक नहीं पड़ता

पिछे चाहे जितना मार लो 
बच्चा पैदा नही हो सकता

उसी तरह पप्…",NOT,NONE,hasoc_2020_hi_1261
1127573262181879809,"RT @Prem_Chaupda: उज्जवला योजना कुछ भी नहीं है, राजीव गांधी ने भोपाल मे फ्री गैस दी थी...
16000 लोग तो खुशी के मारे मर गए और सब कहते कांग्…",NOT,NONE,hasoc_2020_hi_2947
1127584062544044039,"RT @Pinkimishr: मोदी'' जी की ""जरुरतें  ""कम""  हैं
इसलिये उनके ""जमीर"" में ""दम' है
@narendramodi

सहमत हैं तो ""रिटवीट"" जरुर करें🙏",NOT,NONE,hasoc_2020_hi_1588
1127775893227577344,"RT @Kiranja34522516: अण्णा हजारे का अरविंद केजरीवाल पर हमला, कहा- सत्ता और पैसे के आगे भूल बैठे हैं जनता से किया वादा - NDTV https://t.co/3…",NOT,NONE,hasoc_2020_hi_1778
1127536708847689730,RT @VikashPreetam: अच्छा है कि ममता बनर्जी के पास आर्मी और एयरफोर्स नहीं है वरना अब तक वो ऐसा ही हमला दिल्ली और चुनाव आयोग पर भी करवा देतीं…,HOF,OFFN,hasoc_2020_hi_2745
1127563996972720131,"RT @BhumikaD1: #Allah_Kabir
गंगा काठे घर करे,पिवे निर्मल नीर।
मुक्ति नहीं हरि नाम बिन,ये कह रहे साहेब कबीर।।
कुम्भस्नान पर पहले नहाने की हो…",NOT,NONE,hasoc_2020_hi_1849
1123539176396210177,RT @sambit_swaraj1: चौकीदार चोर है कहने वाले महागठबंधन वाले हरिश्चन्द्र की औलादे है तभी तो किसी का बाप जेल में हैं और किसी की मां बेल पे है…,HOF,OFFN,hasoc_2020_hi_3355
1127631571421409281,"#SaturdayThoughts
कुरान में बकरों की बलि का कोई विधान नहीं है फिर क्यों मुसलमान समाज बकरे को हलाल करता है",HOF,HATE,hasoc_2020_hi_771
1127475069347778561,दिल्ली वालों आलस्य का त्याग करो और उठो जा कर मोदी को वोट करो। एक एक वोट किमती है।,NOT,NONE,hasoc_2020_hi_2889
1127601481480167424,"RT @IshikaSiingh: सब लोग तो चौकीदार हो गए।

तो क्या अब मैं विश्वास कर कर लूं की

मेरा दिल चोरी नही होगा???

#ishk_se_ishika",NOT,NONE,hasoc_2020_hi_4073
1127645462935298054,@AagayiNavya एक बार ही तो 10 लाख का सूट पहना था जिस दिन तेरी अम्मी का मुजरा देखने गये थे,HOF,PRFN,hasoc_2020_hi_3962
1127594510555308033,@RubikaLiyaquat बच्चे भी वोट दिए क्या???,NOT,NONE,hasoc_2020_hi_3629
1127614878066176000,"RT @jafahar1: Climate change पर महान वैज्ञानिक मोदी ने कहा कि climate change नहीं हुआ दर असल हम change हो गए हैं
पहले हमें गर्मी में गर्मी…",HOF,OFFN,hasoc_2020_hi_1493
1127786236360515584,"कुत्तों से देशभक्ति सीखो)&gt;राउल विंची
मैंने राहुल गांधी से सीखे देश भक्ति #सूजेमुंहवाला https://t.co/8qXp5icezk",HOF,OFFN,hasoc_2020_hi_2837
1127558347232763909,"RT @JagratiGupta3: वोट देने के बाद ऐसे फ़ोटो कौन खिंचवाता है🤔🤣
हर अदा निराली है,
इटली के शहजादे की हर बात निराली है.!!

Mr Confuse को पता न…",NOT,NONE,hasoc_2020_hi_2945
1123808773678817286,"RT @saket71: मोहतरमा आगे चल कर नितिका शर्मा नाम से काँग्रेस के टिकट पर चुनाव लड़ सकती हैं, और ब्राह्मण की आवाज़ के नाम से आगामी हिंदूविरोधी…",NOT,NONE,hasoc_2020_hi_4085
1123577256515760131,"RT @aajtak: #BREAKING

आतंकी #MasoodAzhar को संयुक्त राष्ट्र ने अंतरराष्ट्रीय आतंकी घोषित कर दिया है

https://t.co/OHb1qR7ECT",NOT,NONE,hasoc_2020_hi_1270
1127662647011188738,RT @jigneshmevani80: गुजरात के अरवल्ली जिले के खंभासर गांव में घोडी चढने के मामले में गुजरात पुलिस बर्बरता के साथ दलितों पर टूट पड़ी। पिछले…,NOT,NONE,hasoc_2020_hi_274
1123611192608444421,"@RajatSharmaLive @narendramodi भाङे का  टटटू 
फेंकू पे  लटटू 

अपना  सामान्य ज्ञान  बन्द 
फैलाने  लगा  गंद",HOF,OFFN,hasoc_2020_hi_3951
1127538826967076874,"RT @kavishala: रोज़, हर वक़्त यही सोचता हूँ मैं,
की अपनी ही नक़ल करने में मात खा रहा हूँ मैं.

- आयुष्मान खुराना / @ayushmannk https://t.co…",NOT,NONE,hasoc_2020_hi_3874
1123584474904555521,अजादी के बाद ये पेहला मोका है जी,NOT,NONE,hasoc_2020_hi_4017
1127595911436046338,"RT @kanchanad123: #SundayMotivation
आज भारत देश में युवा वर्ग के बच्चे नशे की लत से अपने जीवन को खत्म कर रहे हैं नशे से बचने के लिए और अपने…",NOT,NONE,hasoc_2020_hi_4239
1127639515403673600,"RT @shubhada1234: नसीब वाले होते हैं वो, जिन्हें दो माताओं का प्यार मिलता है।

होते हैं दुनिया में कुछ अभागी, जिन्हें एक माँ का भी प्यार न…",NOT,NONE,hasoc_2020_hi_4175
1123499112412794880,"RT @rsprasad: इस देश में झूठ बोलने पर कोई पाबंदी नहीं है। तो राहुल गाँधी झूठ बोलते रहें। 
वो जहाँ आज बैठे हैं वो अपनी काबिलियत की वजह से न…",NOT,NONE,hasoc_2020_hi_103
1123812485642035200,"RT @MazidSuhail: @Kavita_Sharma4 जिन्हें मुसलमानों के नाकाब (बुर्के) से परेशानी है

वो अपनी माँ-बहनों की नंगी फोटो

फेसबुक-ट्विटर पर अपलोड…",HOF,OFFN,hasoc_2020_hi_1225
1123778100758818816,"RT @sambit_swaraj1: कांग्रेस के
. “मसुद अज़हर जी “ तो गयो

10 जनपथ मे 
शोक की लहर

हाथी 
. घायल

और 

साईकल 
पंचर होने की ख़बर साथ साथ आ र…",NOT,NONE,hasoc_2020_hi_4164
1127771032004190208,@KumariRukshmani उस माँ का कया जो अलवर में तार तार हो गई। आप यहाँ एयर कंडीशन में बैठ के tweet कर रहीं हैं।,NOT,NONE,hasoc_2020_hi_3843
1127521223447998464,"RT @P42489824R: 🌸🌧🌟✨🍓🍓✨🌟🌧🌸
🌸🎋🌧💞🌧

  *अपने हाथ से हुए ""पुण्य""        

और*

*किसी दूसरे से हुए ""पाप""*

*की चर्चा किसी से न करें !!!*

*यह अप…",NOT,NONE,hasoc_2020_hi_2803
1127546439599419392,"RT @RealKangana_: ग़रीबों के बच्चे कुचल कर मारे जायें!
किसान आत्महत्या कर लें!
बेटियाँ दिन दहाड़े जला दी जायें!

टीवी पर ये ख़बरें बड़ी न…",NOT,NONE,hasoc_2020_hi_215
1123482909837602817,@loshiniiiiiii @AshwiniiVasu What is this mann? Nee rombe late lah aiyoo,NOT,NONE,hasoc_2020_hi_4368
1127641209931911168,"RT @sheereenrajora1: @BaDastoor अलमारी से ख़त उस के पुराने निकल आए, 
फिर से मिरे चेहरे पे ये दाने निकल आए। 
माँ बैठ के तकती थी जहाँ से मिरा…",NOT,NONE,hasoc_2020_hi_3766
1127509508786233345,"RT @rssurjewala: मोदीजी दलितों के लिये घड़ियाली आँसू न बहायें।

भाजपा शासित उत्तराखण्ड में दलित युवक की दिनदहाड़े हत्या हुई,जिसे भाजपा सरका…",HOF,OFFN,hasoc_2020_hi_1508
1123639239902580736,"RT @Rampuniyani1945: कोई नया बाॅम आया है क्या मार्केट में, जो बुर्के में छुपाया जा सकता है और साड़ी में नहीं?

#JustAsking 
 https://t.co/R…",HOF,HATE,hasoc_2020_hi_1544
1127652819765350400,"RT @ZainabAjaz2: जिबरील कह रहे हैं ""परवरदीगार""से,
 
              #ए_गालिब़'

सूरज शिकस्त खा गया ""रोज़ादार""से,

Follow me - @ZainabAjaz2",NOT,NONE,hasoc_2020_hi_1460
1127601972209754113,RT @lncMohitJain: विपक्ष को “स्पीड ब्रेकर” बोलते बोलते “फेंकूँ” कब  “इंटर्नैशनल डिवाइडर” बन गया चौक़ीदार और अंधभक्तों को भी समझ नहीं आया !!…,HOF,OFFN,hasoc_2020_hi_1452
1127545797900361728,"RT @SheilaDikshit: अरे भाई @ArvindKejriwal, मेरी सेहत को ले कर क्यूँ ग़लत अफ़वाहें फैला रहे हो? अगर कोई काम नहीं हो तो आ जाओ भोजन पर। मेरी…",NOT,NONE,hasoc_2020_hi_834
1127482484868898816,RT @AajKaMowgli: दिल्ली के भाइयों एवम बहनों वोट देने से पहले अंतरराष्ट्रीय मुख्यमंत्री गिरगिटाधिराज महामहिम केजरी(@ArvindKejriwal )के इस दि…,HOF,OFFN,hasoc_2020_hi_100
1123510592210214913,"RT @ArunbajpaiRajan: पुतिन ने कमजोर हुये रूस को पुनः सर्वशक्तिशाली बना दिया,
जनता हर बार पुतिन को जिताती है,
क्योकि वहां जनता जातिवादी नही…",NOT,NONE,hasoc_2020_hi_2413
1127533219191054336,@phatangare_k @IntolerantMano2 पिलीवाली की भी यही जानकारी थी🤔,NOT,NONE,hasoc_2020_hi_359
1127779890382553088,"मैंने अपना वोट देकर अपनी जिम्मेदारी निभाई
आप सभी से भी गुजारिश है अपनी जिम्मेदारी समझे और जाकर मतदान करें https://t.co/3i7bzEms1K",NOT,NONE,hasoc_2020_hi_4145
1123496948139347968,"RT @iJagdaNandSingh: अगर हमारे नेता आदरणीय लालू जी ऊंची जाति में पैदा होतें. ब्राह्मण होतें, भूमिहार होतें, राजपूत होतें, कायस्थ होतें..…",NOT,NONE,hasoc_2020_hi_3926
1127801642026393600,"RT @OzAakib: उम्र दराज़ी इस किस्से की इस किस्से को खत्म करो,
क्या तुम निकले अपने घर से, अपने घर से हम निकले।

#जॉन_एलिया
@Mahanaatma1 
@Jau…",NOT,NONE,hasoc_2020_hi_3275
1127556006836260864,RT @Payal_Rohatgi: #IndianMedia इतने सालों से #Mothersday promote करती आयी क्यूँकि corporates चाहते हैं कि यह दिन द्वारा उनकी बिक्री ज़्या…,HOF,OFFN,hasoc_2020_hi_1461
1127620250961235968,"RT @KumarRa10617867: कल कॉंग्रेस कह्ती थी ,आज पूरा विश्व कह रहा है।समाज मे विष फैला रहे है मोदी। https://t.co/uEgBQB5tua",HOF,OFFN,hasoc_2020_hi_85
1127660314952998914,"RT @golagi19923aj: #HappyMothersDay
प्रत्येक मां महान होती हैं।
वह हमारी हर गलती को क्षमा कर देती है।
लेकिन पाप कर्म भोगने से नहीं रोक सकती…",NOT,NONE,hasoc_2020_hi_1388
1127734621263630336,"RT @Sonameverma: राजीव गांधी के काले कारनामे उजागर हुए तो मरे हुए पर राजनीति नहीं होनीं चाहिए।
लेकिन वोट माँगना हो तो मरे हुए लोगों से नाक…",NOT,NONE,hasoc_2020_hi_1343
1127612516702441472,साला #mi वाले एक्स्ट्रा तो ऐसे बांट रहे है जैसे 300 रन बनाये है 😂,NOT,NONE,hasoc_2020_hi_1189
1127601775085793280,"RT @yadavtejashwi: मेरे प्रिय बिहारवासियों, 

आज जब देश में छठे चरण का चुनाव हो रहा है। मैं हर एक बिहारवासी को दिल से धन्यवाद करना चाहता…",NOT,NONE,hasoc_2020_hi_1
1127657198593638400,"RT @DesiStupides: @dhruv_rathee आज भी Weather cloudy ⛅ है हल्की बारिश भी हुई हैं! 😜

मोदीजी मोड दो प्लेन कर दो एक और हवाबाजी स्ट्राइक! 😂 😂…",HOF,OFFN,hasoc_2020_hi_1911
1127667453696385034,"RT @BeingAban: What a shameless man 😂
Kya image banayi hai apni isne bhakton ke beech aur asliyat ye hai ki kaala akshar Bhais Barabar http…",HOF,PRFN,hasoc_2020_hi_3438
1127767328425332736,"RT @Ankita_pandit_: चोर कांपे चमचे कांपे कांपे हर गद्दर ।।
देश का बच्चा बच्चा बोले 
मैं भी चोकीदार।। https://t.co/vIb4x25utX",NOT,NONE,hasoc_2020_hi_905
1127753294305214464,"#SayNoToStubbleBurning 
St Ram Rahim 
फसल अवशेष जलाना सेहत के लिए भी बेहद हानिकारक है, इसके धुएं से आँखों में जलन होती है। सांस लेने में दिक्कत होती है और फेफड़ों की बीमारियां हो सकती हैं। ख़ास तौर से बड़े बुज़ुर्गों को काफी तकलीफ होती है| https://t.co/9n3l7osJ0q",NOT,NONE,hasoc_2020_hi_2174
1127520460118171648,"@one_by_two दुनिआ के कुख्यात आतंकवादियों को ""जी"" कहने वालों को दें क्या ??",HOF,OFFN,hasoc_2020_hi_2090
1127789554050539521,कल मतदान करने के पश्चात प्रियंका जी ने कहा होगी प्यार की जीत शायद यही प्यार है,NOT,NONE,hasoc_2020_hi_3597
1123780390836166663,RT @HinduSannyasin: इन्हें वेस्ट कॉमेडियन का अवार्ड मिलना चाहिये? 😅😂 https://t.co/l3K36NTqK3,NOT,NONE,hasoc_2020_hi_3787
1127774144198692864,RT @GopalNarayan3: चुनाव कर्मियों और सुरक्षा कर्मियों के लिए बंगाल में चुनाव कराना कितना कठिन होगया है चारों तरफ ममता के गुण्डे कहर बरपाए…,HOF,OFFN,hasoc_2020_hi_1297
1127519931635982336,"@narendramodi आतंकी को टिकट भी मोदी ही दे सकता है 
साध्वी प्रज्ञा 😃",HOF,OFFN,hasoc_2020_hi_2180
1123614472566755328,"RT @tikam53: 20 करोड़ मुसलमान
और
7 करोड़ ईसाइयों की रक्षा के लिए 52 पार्टियाँ खड़ी है!!
और
100 करोड़ हिंदुओं की रक्षा के लिए... 
एक आदमी उन…",NOT,NONE,hasoc_2020_hi_1059
1123583812208697345,"RT @VickyAarya007: ""बिग ब्रेकिंग न्यूज़""
 मसूद अजहर ग्लोबल आतंकवादी घोषित चीन ने खत्म किया अपना वीटो पावर! 
""मोदी है तो मुमकिन""है""🚩🚩🙏

@nar…",NOT,NONE,hasoc_2020_hi_693
1127515947047084032,"ऐसे लोग समाज पर कलंक है, इनके चेहरे अच्छे से पहचान लो ।",HOF,OFFN,hasoc_2020_hi_3502
1127557550314967040,"RT @_Its_niks: दुआ थप्पड़ बेलन चप्पल सब देती है
माँ अपने मुड के हिसाब से प्यार देती है😎😍",NOT,NONE,hasoc_2020_hi_3779
1127588894382403586,पूर्व गृहमंत्री रामसेवक पैकरा की पत्नी ने दूसरी संस्था के टिन नंबर से अपने नाम कराई गैस की एजेंसी…आरटीआई कार्यकर्ता ने जुर्म दर्ज करने की मांग की https://t.co/BlRmtcKr6E via @jantaserishta,NOT,NONE,hasoc_2020_hi_3879
